,title,rating,genre,release_date,ranking,director,cast,budget,runtime,cum_worldwide_gross
0,The Shawshank Redemption ,,Drama,14 October 1994,9.3,Frank Darabont,Tim Robbins;Morgan Freeman;Bob Gunton;William Sadler;Clancy Brown;Gil Bellows;Mark Rolston;James Whitmore;Jeffrey DeMunn;Larry Brandenburg;Neil Giuntoli;Brian Libby;David Proval;Joseph Ragno;Jude Ciccolella,25000000,142,58500000
1,The Godfather ,,"Crime; 
Drama",24 March 1972,9.2,Francis Ford Coppola,Marlon Brando;Al Pacino;James Caan;Richard S. Castellano;Robert Duvall;Sterling Hayden;John Marley;Richard Conte;Al Lettieri;Diane Keaton;Abe Vigoda;Talia Shire;Gianni Russo;John Cazale;Rudy Bond,6000000,175,245066411
2,The Godfather: Part II ,PG,"Crime; 
Drama",20 December 1974,9.0,Francis Ford Coppola,Al Pacino;Robert Duvall;Diane Keaton;Robert De Niro;John Cazale;Talia Shire;Lee Strasberg;Michael V. Gazzo;G.D. Spradlin;Richard Bright;Gastone Moschin;Tom Rosqui;Bruno Kirby;Frank Sivero;Francesca De Sapio,13000000,202,
3,The Dark Knight ,PG,"Action; 
Crime; 
Drama",18 July 2008,9.0,Christopher Nolan,Christian Bale;Heath Ledger;Aaron Eckhart;Michael Caine;Maggie Gyllenhaal;Gary Oldman;Morgan Freeman;Monique Gabriela Curnen;Ron Dean;Cillian Murphy;Chin Han;Nestor Carbonell;Eric Roberts;Ritchie Coster;Anthony Michael Hall,185000000,152,1004558444
4,12 Angry Men ,PG,Drama,April 1957,8.9,Sidney Lumet,Martin Balsam;John Fiedler;Lee J. Cobb;E.G. Marshall;Jack Klugman;Edward Binns;Jack Warden;Henry Fonda;Joseph Sweeney;Ed Begley;George Voskovec;Robert Webber,350000,96,
5,Schindler's List ,,,25 December 1993,8.9,Steven Spielberg,Liam Neeson;Ben Kingsley;Ralph Fiennes;Caroline Goodall;Jonathan Sagall;Embeth Davidtz;Malgorzata Gebel;Shmuel Levy;Mark Ivanir;Béatrice Macola;Andrzej Seweryn;Friedrich von Thun;Krzysztof Luft;Harry Nehring;Norbert Weisser,22000000,195,221000000
6,The Lord of the Rings: The Return of the King ,,"Action; 
Adventure; 
Drama",17 December 2003,8.9,Peter Jackson,Noel Appleby;Ali Astin;Sean Astin;David Aston;John Bach;Sean Bean;Cate Blanchett;Orlando Bloom;Billy Boyd;Sadwyn Brophy;Alistair Browning;Marton Csokas;Richard Edge;Jason Fitch;Bernard Hill,94000000,201,1119929521
7,Pulp Fiction ,,"Crime; 
Drama",14 October 1994,8.9,Quentin Tarantino,Tim Roth;Amanda Plummer;Laura Lovelace;John Travolta;Samuel L. Jackson;Phil LaMarr;Frank Whaley;Burr Steers;Bruce Willis;Ving Rhames;Paul Calderon;Bronagh Gallagher;Rosanna Arquette;Eric Stoltz;Uma Thurman,8000000,154,213928762
8,"Il buono, il brutto, il cattivo ",,,23 December 1966,8.9,Sergio Leone,Eli Wallach;Clint Eastwood;Lee Van Cleef;Aldo Giuffrè;Luigi Pistilli;Rada Rassimov;Enzo Petito;Claudio Scarchilli;John Bartha;Livio Lorenzon;Antonio Casale;Sandro Scarchilli;Benito Stefanelli;Angelo Novi;Antonio Casas,1200000,161,
9,Fight Club ,R,Drama,15 October 1999,8.8,David Fincher,Edward Norton;Brad Pitt;Meat Loaf;Zach Grenier;Richmond Arquette;David Andrews;George Maguire;Eugenie Bondurant;Helena Bonham Carter;Christina Cabot;Sydney 'Big Dawg' Colston;Rachel Singer;Christie Cronenweth;Tim DeZarn;Ezra Buzzington,63000000,139,71000000
10,The Lord of the Rings: The Fellowship of the Ring ,,"Adventure; 
Drama; 
Fantasy",19 December 2001,8.8,Peter Jackson,Alan Howard;Noel Appleby;Sean Astin;Sala Baker;Sean Bean;Cate Blanchett;Orlando Bloom;Billy Boyd;Marton Csokas;Megan Edwards;Michael Elsworth;Mark Ferguson;Ian Holm;Christopher Lee;Lawrence Makoare,93000000,178,871530324
11,Forrest Gump ,PG,"Drama; 
Romance",6 July 1994,8.8,Robert Zemeckis,Tom Hanks;Rebecca Williams;Sally Field;Michael Conner Humphreys;Harold G. Herthum;George Kelly;Bob Penny;John Randall;Sam Anderson;Margo Moorer;Ione M. Telech;Christine Seabrook;John Worsham;Peter Dobson;Siobhan Fallon Hogan,55000000,142,677945399
12,Star Wars: Episode V - The Empire Strikes Back ,G,"Action; 
Adventure; 
Fantasy",20 June 1980,8.8,Irvin Kershner,Mark Hamill;Harrison Ford;Carrie Fisher;Billy Dee Williams;Anthony Daniels;David Prowse;Peter Mayhew;Kenny Baker;Frank Oz;Alec Guinness;Jeremy Bulloch;John Hollis;Jack Purvis;Des Webb;Clive Revill,18000000,124,247916602
13,Inception ,PG,"Action; 
Adventure; 
Sci-Fi",16 July 2010,8.8,Christopher Nolan,Leonardo DiCaprio;Joseph Gordon-Levitt;Ellen Page;Tom Hardy;Ken Watanabe;Dileep Rao;Cillian Murphy;Tom Berenger;Marion Cotillard;Pete Postlethwaite;Michael Caine;Lukas Haas;Tai-Li Lee;Claire Geare;Magnus Nolan,160000000,148,825532764
14,The Lord of the Rings: The Two Towers ,,"Adventure; 
Drama; 
Fantasy",18 December 2002,8.7,Peter Jackson,Bruce Allpress;Sean Astin;John Bach;Sala Baker;Cate Blanchett;Orlando Bloom;Billy Boyd;Jed Brophy;Sam Comery;Brad Dourif;Calum Gittins;Bernard Hill;Bruce Hopkins;Paris Howe Strewe;Christopher Lee,94000000,179,926047111
15,One Flew Over the Cuckoo's Nest ,,Drama,19 November 1975,8.7,Milos Forman,Jack Nicholson;Louise Fletcher;Will Sampson;Michael Berryman;Alonzo Brown;Peter Brocco;Scatman Crothers;Dean R. Brooks;Mwako Cumbuka;Danny DeVito;William Duell;Josip Elic;Lan Fendors;Nathan George;Ken Kenny,4400000,133,
16,Goodfellas ,,"Crime; 
Drama",21 September 1990,8.7,Martin Scorsese,Robert De Niro;Ray Liotta;Joe Pesci;Lorraine Bracco;Paul Sorvino;Frank Sivero;Tony Darrow;Mike Starr;Frank Vincent;Chuck Low;Frank DiLeo;Henny Youngman;Gina Mastrogiacomo;Catherine Scorsese;Charles Scorsese,25000000,146,
17,The Matrix ,,"Action; 
Sci-Fi",31 March 1999,8.7,,Keanu Reeves;Laurence Fishburne;Carrie-Anne Moss;Hugo Weaving;Gloria Foster;Joe Pantoliano;Marcus Chong;Julian Arahanga;Matt Doran;Belinda McClory;Anthony Ray Parker;Paul Goddard;Robert Taylor;David Aston;Marc Aden Gray,63000000,136,463517383
18,Shichinin no samurai ,PG,"Adventure; 
Drama",26 April 1954,8.7,Akira Kurosawa,Toshirô Mifune;Takashi Shimura;Keiko Tsushima;Yukiko Shimazaki;Kamatari Fujiwara;Daisuke Katô;Isao Kimura;Minoru Chiaki;Seiji Miyaguchi;Yoshio Kosugi;Bokuzen Hidari;Yoshio Inaba;Yoshio Tsuchiya;Kokuten Kôdô;Eijirô Tôno,2000000,207,
19,Cidade de Deus ,,"Crime; 
Drama",30 August 2002,8.6,,Alexandre Rodrigues;Leandro Firmino;Phellipe Haagensen;Douglas Silva;Jonathan Haagensen;Matheus Nachtergaele;Seu Jorge;Jefechander Suplino;Alice Braga;Emerson Gomes;Edson Oliveira;Michel Gomes;Roberta Rodrigues;Luis Otávio;Kiko Marques,3300000,130,32059295
20,Se7en ,,"Crime; 
Drama; 
Mystery",22 September 1995,8.6,David Fincher,Morgan Freeman;Andrew Kevin Walker;Daniel Zacapa;Brad Pitt;Gwyneth Paltrow;John Cassini;Bob Mack;Peter Crombie;Reg E. Cathey;R. Lee Ermey;George Christy;Endre Hules;Hawthorne James;William Davidson;Bob Collins,33000000,127,327311859
21,Star Wars ,,"Action; 
Adventure; 
Fantasy",25 May 1977,8.6,George Lucas,Mark Hamill;Harrison Ford;Carrie Fisher;Peter Cushing;Alec Guinness;Anthony Daniels;Kenny Baker;Peter Mayhew;David Prowse;Phil Brown;Shelagh Fraser;Jack Purvis;Alex McCrindle;Eddie Byrne;Drewe Henley,11000000,121,775398007
22,The Silence of the Lambs ,,"Crime; 
Drama; 
Thriller",14 February 1991,8.6,Jonathan Demme,Jodie Foster;Lawrence A. Bonney;Kasi Lemmons;Lawrence T. Wrentz;Scott Glenn;Anthony Heald;Frankie Faison;Don Brockett;Frank Seals Jr.;Stuart Rudin;Anthony Hopkins;Maria Skorobogatov;Jeffrie Lane;Leib Lensky;George 'Red' Schwartz,19000000,118,272742922
23,It's a Wonderful Life ,G,"Drama; 
Family; 
Fantasy",7 January 1947,8.6,Frank Capra,James Stewart;Donna Reed;Lionel Barrymore;Thomas Mitchell;Henry Travers;Beulah Bondi;Frank Faylen;Ward Bond;Gloria Grahame;H.B. Warner;Frank Albertson;Todd Karns;Samuel S. Hinds;Mary Treen;Virginia Patton,3180000,130,
24,La vita è bella ,PG,"Comedy; 
Drama; 
Romance",6 November 1998,8.6,Roberto Benigni,Roberto Benigni;Nicoletta Braschi;Giorgio Cantarini;Giustino Durano;Sergio Bini Bustric;Marisa Paredes;Horst Buchholz;Lidia Alfonsi;Giuliana Lojodice;Amerigo Fontani;Pietro De Silva;Francesco Guzzo;Raffaella Lebboroni;Claudio Alfonsi;Gil Baroni,20000000,116,229163264
25,The Usual Suspects ,,"Crime; 
Mystery; 
Thriller",15 September 1995,8.6,Bryan Singer,Stephen Baldwin;Gabriel Byrne;Benicio Del Toro;Kevin Pollak;Kevin Spacey;Chazz Palminteri;Pete Postlethwaite;Suzy Amis;Giancarlo Esposito;Dan Hedaya;Paul Bartel;Carl Bressler;Phillipe Simon;Jack Shearer;Christine Estabrook,6000000,106,34449356
26,Sen to Chihiro no kamikakushi ,PG,,20 July 2001,8.6,,Rumi Hiiragi;Miyu Irino;Mari Natsuki;Takashi Naitô;Yasuko Sawaguchi;Tatsuya Gashûin;Ryûnosuke Kamiki;Yumi Tamai;Yô Ôizumi;Koba Hayashi;Tsunehiko Kamijô;Takehiko Ono;Bunta Sugawara;Shigeru Wakita;Shirô Saitô,19000000,125,274925095
27,Saving Private Ryan ,,"Drama; 
War",24 July 1998,8.6,Steven Spielberg,Tom Hanks;Tom Sizemore;Edward Burns;Barry Pepper;Adam Goldberg;Vin Diesel;Giovanni Ribisi;Jeremy Davies;Matt Damon;Ted Danson;Paul Giamatti;Dennis Farina;Joerg Stadler;Max Martini;Dylan Bruno,70000000,169,481840909
28,Spider-Man: Into the Spider-Verse ,PG,,14 December 2018,8.7,,Shameik Moore;Jake Johnson;Hailee Steinfeld;Mahershala Ali;Brian Tyree Henry;Lily Tomlin;Luna Lauren Velez;Zoë Kravitz;John Mulaney;Kimiko Glenn;Nicolas Cage;Kathryn Hahn;Liev Schreiber;Chris Pine;Natalie Morales,90000000,117,149653583
29,Léon ,,"Crime; 
Drama; 
Thriller",14 September 1994,8.6,Luc Besson,Jean Reno;Gary Oldman;Natalie Portman;Danny Aiello;Peter Appel;Willi One Blood;Don Creech;Keith A. Glascoe;Randolph Scott;Michael Badalucco;Ellen Greene;Elizabeth Regen;Carl J. Matusovich;Frank Senger;Lucius Wyatt Cherokee,,110,45501238
30,The Green Mile ,,"Crime; 
Drama; 
Fantasy",10 December 1999,8.5,Frank Darabont,Tom Hanks;David Morse;Bonnie Hunt;Michael Clarke Duncan;James Cromwell;Michael Jeter;Graham Greene;Doug Hutchison;Sam Rockwell;Barry Pepper;Jeffrey DeMunn;Patricia Clarkson;Harry Dean Stanton;Dabbs Greer;Eve Brent,60000000,189,286801374
31,Interstellar ,PG,"Adventure; 
Drama; 
Sci-Fi",7 November 2014,8.6,Christopher Nolan,Ellen Burstyn;Matthew McConaughey;Mackenzie Foy;John Lithgow;Timothée Chalamet;David Oyelowo;Collette Wolfe;Francis X. McCarthy;Bill Irwin;Anne Hathaway;Andrew Borba;Wes Bentley;William Devane;Michael Caine;David Gyasi,165000000,169,675020017
32,Psycho ,,,8 September 1960,8.5,Alfred Hitchcock,Anthony Perkins;Vera Miles;John Gavin;Janet Leigh;Martin Balsam;John McIntire;Simon Oakland;Frank Albertson;Patricia Hitchcock;Vaughn Taylor;Lurene Tuttle;John Anderson;Mort Mills,806947,109,50000000
33,American History X ,,Drama,20 November 1998,8.5,Tony Kaye,Edward Norton;Edward Furlong;Beverly D'Angelo;Jennifer Lien;Ethan Suplee;Fairuza Balk;Avery Brooks;Elliott Gould;Stacy Keach;William Russ;Guy Torry;Joe Cortese;Jason Bose Smith;Antonio David Lyons;Alex Sol,7500000,119,23875127
34,City Lights ,G,"Comedy; 
Drama; 
Romance",7 March 1931,8.5,Charles Chaplin,Virginia Cherrill;Florence Lee;Harry Myers;Al Ernest Garcia;Hank Mann;Charles Chaplin,1500000,87,
35,Once Upon a Time in the West ,,,21 December 1968,8.5,Sergio Leone,Claudia Cardinale;Henry Fonda;Jason Robards;Charles Bronson;Gabriele Ferzetti;Paolo Stoppa;Woody Strode;Jack Elam;Keenan Wynn;Frank Wolff;Lionel Stander,5000000,165,
36,Casablanca ,G,"Drama; 
Romance; 
War",23 January 1943,8.5,Michael Curtiz,Humphrey Bogart;Ingrid Bergman;Paul Henreid;Claude Rains;Conrad Veidt;Sydney Greenstreet;Peter Lorre;S.Z. Sakall;Madeleine Lebeau;Dooley Wilson;Joy Page;John Qualen;Leonid Kinskey;Curt Bois,950000,102,
37,Modern Times ,,"Comedy; 
Drama; 
Family",25 February 1936,8.5,Charles Chaplin,Charles Chaplin;Paulette Goddard;Henry Bergman;Tiny Sandford;Chester Conklin;Hank Mann;Stanley Blystone;Al Ernest Garcia;Richard Alexander;Cecil Reynolds;Mira McKinney;Murdock MacQuarrie;Wilfred Lucas;Edward LeSaint;Fred Malatesta,1500000,87,
38,The Pianist ,,,24 January 2003,8.5,Roman Polanski,Adrien Brody;Emilia Fox;Michal Zebrowski;Ed Stoppard;Maureen Lipman;Frank Finlay;Jessica Kate Meyer;Julia Rayner;Wanja Mues;Richard Ridings;Nomi Sharron;Anthony Milner;Lucy Skeaping;Roddy Skeaping;Ben Harlan,35000000,150,120072577
39,The Intouchables ,,,2 November 2011,8.5,,François Cluzet;Omar Sy;Anne Le Ny;Audrey Fleurot;Joséphine de Meaux;Clotilde Mollet;Alba Gaïa Bellugi;Cyril Mendy;Salimata Kamate;Absa Diatou Toure;Grégoire Oestermann;Dominique Daguier;François Caron;Christian Ameri;Thomas Solivérès,,112,426480871
40,The Departed ,,"Crime; 
Drama; 
Thriller",6 October 2006,8.5,Martin Scorsese,Leonardo DiCaprio;Matt Damon;Jack Nicholson;Mark Wahlberg;Martin Sheen;Ray Winstone;Vera Farmiga;Anthony Anderson;Alec Baldwin;Kevin Corrigan;James Badge Dale;David O'Hara;Mark Rolston;Robert Wahlberg;Kristen Dalton,90000000,151,289847354
41,Terminator 2: Judgment Day ,,"Action; 
Sci-Fi",3 July 1991,8.5,James Cameron,Arnold Schwarzenegger;Linda Hamilton;Edward Furlong;Robert Patrick;Earl Boen;Joe Morton;S. Epatha Merkerson;Castulo Guerra;Danny Cooksey;Jenette Goldstein;Xander Berkeley;Leslie Hamilton Gearren;Ken Gibbel;Robert Winley;Peter Schrum,102000000,137,315000000
42,Back to the Future ,PG,"Adventure; 
Comedy; 
Sci-Fi",3 July 1985,8.5,Robert Zemeckis,Michael J. Fox;Christopher Lloyd;Lea Thompson;Crispin Glover;Thomas F. Wilson;Claudia Wells;Marc McClure;Wendie Jo Sperber;George DiCenzo;Frances Lee McCain;James Tolkan;J.J. Cohen;Casey Siemaszko;Billy Zane;Harry Waters Jr.,19000000,116,381109762
43,Whiplash ,,"Drama; 
Music",15 October 2014,8.5,Damien Chazelle,Miles Teller;J.K. Simmons;Paul Reiser;Melissa Benoist;Austin Stowell;Nate Lang;Chris Mulkey;Damon Gupton;Suanne Spoke;Max Kasch;Charlie Ian;Jayson Blair;Kofi Siriboe;Kavita Patil;C.J. Vana,3300000,106,48982041
44,Rear Window ,PG,"Mystery; 
Thriller",September 1954,8.5,Alfred Hitchcock,James Stewart;Grace Kelly;Wendell Corey;Thelma Ritter;Raymond Burr;Judith Evelyn;Ross Bagdasarian;Georgine Darcy;Sara Berner;Frank Cady;Jesslyn Fax;Rand Harper;Irene Winston;Havis Davenport,1000000,112,36888916
45,Raiders of the Lost Ark ,,"Action; 
Adventure",12 June 1981,8.5,Steven Spielberg,Harrison Ford;Karen Allen;Paul Freeman;Ronald Lacey;John Rhys-Davies;Denholm Elliott;Alfred Molina;Wolf Kahler;Anthony Higgins;Vic Tablian;Don Fellows;William Hootkins;Bill Reimbold;Fred Sorenson;Patrick Durkin,18000000,115,389925971
46,The Lion King ,G,,24 June 1994,8.5,,Rowan Atkinson;Matthew Broderick;Niketa Calame-Harris;Jim Cummings;Whoopi Goldberg;Robert Guillaume;Jeremy Irons;James Earl Jones;Moira Kelly;Nathan Lane;Zoe Leader;Cheech Marin;Ernie Sabella;Madge Sinclair;Jonathan Taylor Thomas,45000000,88,987483777
47,Gladiator ,,"Action; 
Adventure; 
Drama",5 May 2000,8.5,Ridley Scott,Russell Crowe;Joaquin Phoenix;Connie Nielsen;Oliver Reed;Richard Harris;Derek Jacobi;Djimon Hounsou;David Schofield;John Shrapnel;Tomas Arana;Ralf Moeller;Spencer Treat Clark;David Hemmings;Tommy Flanagan;Sven-Ole Thorsen,103000000,155,457640427
48,The Prestige ,,"Drama; 
Mystery; 
Sci-Fi",20 October 2006,8.5,Christopher Nolan,Hugh Jackman;Christian Bale;Michael Caine;Piper Perabo;Rebecca Hall;Scarlett Johansson;Samantha Mahurin;David Bowie;Andy Serkis;Daniel Davis;Jim Piddock;Christopher Neame;Mark Ryan;Roger Rees;Jamie Harris,40000000,130,109676311
49,Apocalypse Now ,R,"Drama; 
War",15 August 1979,8.5,Francis Ford Coppola,Marlon Brando;Martin Sheen;Robert Duvall;Frederic Forrest;Sam Bottoms;Laurence Fishburne;Albert Hall;Harrison Ford;Dennis Hopper;G.D. Spradlin;Jerry Ziesmer;Scott Glenn;Bo Byers;James Keane;Kerry Rossall,31500000,147,
50,Memento ,,"Mystery; 
Thriller",25 May 2001,8.5,Christopher Nolan,Guy Pearce;Carrie-Anne Moss;Joe Pantoliano;Mark Boone Junior;Russ Fega;Jorja Fox;Stephen Tobolowsky;Harriet Sansom Harris;Thomas Lennon;Callum Keith Rennie;Kimberly Campbell;Marianne Muellerleile;Larry Holden,9000000,113,39723096
51,Alien ,R,,22 June 1979,8.5,Ridley Scott,Tom Skerritt;Sigourney Weaver;Veronica Cartwright;Harry Dean Stanton;John Hurt;Ian Holm;Yaphet Kotto;Bolaji Badejo;Helen Horton,11000000,116,203630630
52,The Great Dictator ,PG,"Comedy; 
Drama; 
War",7 March 1941,8.5,Charles Chaplin,Charles Chaplin;Jack Oakie;Reginald Gardiner;Henry Daniell;Billy Gilbert;Grace Hayle;Carter DeHaven;Paulette Goddard;Maurice Moscovitch;Emma Dunn;Bernard Gorcey;Paul Weigel;Chester Conklin;Esther Michelson;Hank Mann,2000000,125,11000000
53,Nuovo Cinema Paradiso ,PG,Drama,17 November 1988,8.5,Giuseppe Tornatore,Antonella Attili;Enzo Cannavale;Isa Danieli;Leo Gullotta;Marco Leonardi;Pupella Maggio;Agnese Nano;Leopoldo Trieste;Salvatore Cascio;Tano Cimarosa;Nicola Di Pinto;Roberta Lena;Nino Terzo;Jacques Perrin;Philippe Noiret,5000000,155,
54,Hotaru no haka ,PG,,16 April 1988,8.5,Isao Takahata,Tsutomu Tatsumi;Ayano Shiraishi;Yoshiko Shinohara;Akemi Yamaguchi;Tadashi Nakamura;Marcy Bannor;Shelley Calene-Black;Luci Christian;Shannon Conley;Justin Doran;Crispin Freeman;Adam Gibbs;Dan Green;Amy Jones;Susan O. Koozin,3700000,89,
55,Avengers: Infinity War ,PG,"Action; 
Adventure; 
Fantasy",27 April 2018,8.5,,Robert Downey Jr.;Chris Hemsworth;Mark Ruffalo;Chris Evans;Scarlett Johansson;Don Cheadle;Benedict Cumberbatch;Tom Holland;Chadwick Boseman;Zoe Saldana;Karen Gillan;Tom Hiddleston;Paul Bettany;Elizabeth Olsen;Anthony Mackie,321000000,149,2048709917
56,Sunset Blvd. ,PG,"Drama; 
Film-Noir",29 September 1950,8.4,Billy Wilder,William Holden;Gloria Swanson;Erich von Stroheim;Nancy Olson;Fred Clark;Lloyd Gough;Jack Webb;Franklyn Farnum;Larry J. Blake;Charles Dayton;Cecil B. DeMille;Hedda Hopper;Buster Keaton;Anna Q. Nilsson;H.B. Warner,1752000,110,5303175
57,The Lives of Others ,,"Drama; 
Thriller",23 March 2006,8.4,Florian Henckel von Donnersmarck,Martina Gedeck;Ulrich Mühe;Sebastian Koch;Ulrich Tukur;Thomas Thieme;Hans-Uwe Bauer;Volkmar Kleinert;Matthias Brenner;Charly Hübner;Herbert Knaup;Bastian Trost;Marie Gruber;Volker Michalowski;Werner Daehn;Martin Brambach,2000000,137,77356819
58,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,PG,Comedy,29 January 1964,8.4,Stanley Kubrick,Peter Sellers;George C. Scott;Sterling Hayden;Keenan Wynn;Slim Pickens;Peter Bull;James Earl Jones;Tracy Reed;Jack Creley;Frank Berry;Robert O'Neil;Glenn Beck;Roy Stephens;Shane Rimmer;Hal Galili,1800000,95,
59,Paths of Glory ,PG,"Drama; 
War",November 1957,8.4,Stanley Kubrick,Kirk Douglas;Ralph Meeker;Adolphe Menjou;George Macready;Wayne Morris;Richard Anderson;Joe Turkel;Christiane Kubrick;Jerry Hausner;Peter Capell;Emile Meyer;Bert Freed;Kem Dibbs;Timothy Carey;Fred Bell,935000,88,
