,title,rating,genre,release_date,ranking,director,cast,budget,runtime,cum_worldwide_gross
186,The Truman Show ,PG,"Comedy; 
Drama; 
Sci-Fi",5 June 1998,8.1,Peter Weir,Jim Carrey;Laura Linney;Noah Emmerich;Natascha McElhone;Holland Taylor;Brian Delate;Blair Slater;Peter Krause;Heidi Schanz;Ron Taylor;Don Taylor;Ted Raymond;Judy Clayton;Fritz Dominique;Angel Schmiedt,60000000,103,264118201
187,The Grand Budapest Hotel ,,"Adventure; 
Comedy; 
Drama",6 March 2014,8.1,Wes Anderson,Ralph Fiennes;F. Murray Abraham;Mathieu Amalric;Adrien Brody;Willem Dafoe;Jeff Goldblum;Harvey Keitel;Jude Law;Bill Murray;Edward Norton;Saoirse Ronan;Jason Schwartzman;Léa Seydoux;Tilda Swinton;Tom Wilkinson,25000000,99,174600318
188,It Happened One Night ,PG,"Comedy; 
Romance",22 February 1934,8.1,Frank Capra,Clark Gable;Claudette Colbert;Walter Connolly;Roscoe Karns;Jameson Thomas;Alan Hale;Arthur Hoyt;Blanche Friderici;Charles C. Wilson,325000,105,
189,Platoon ,,"Drama; 
War",6 February 1987,8.1,Oliver Stone,Tom Berenger;Keith David;Willem Dafoe;Forest Whitaker;Francesco Quinn;Kevin Dillon;John C. McGinley;Reggie Johnson;Mark Moses;Corey Glover;Johnny Depp;Chris Pedersen;Bob Orwig;Corkey Ford;David Neidorf,6000000,120,
190,Stand by Me ,PG,"Adventure; 
Drama",26 November 1986,8.1,Rob Reiner,Wil Wheaton;River Phoenix;Corey Feldman;Jerry O'Connell;Kiefer Sutherland;Casey Siemaszko;Gary Riley;Bradley Gregg;Jason Oliver;Marshall Bell;Frances Lee McCain;Bruce Kirby;William Bronder;Scott Beach;Richard Dreyfuss,8000000,89,
191,Eskiya ,,"Crime; 
Drama; 
Thriller",29 November 1996,8.3,Yavuz Turgul,Sener Sen;Ugur Yücel;Sermin Hürmeriç;Yesim Salkim;Kamran Usluer;Ülkü Duru;Özkan Ugur;Necdet Mahfi Ayral;Kayhan Yildizoglu;Güven Hokna;Kemal Inci;Melih Çardak;Settar Tanriögen;Celal Perk;Ümit Çirak,,128,1979000
192,Network ,PG,Drama,27 November 1976,8.1,Sidney Lumet,Faye Dunaway;William Holden;Peter Finch;Robert Duvall;Wesley Addy;Ned Beatty;Arthur Burghardt;Bill Burrows;John Carpenter;Jordan Charney;Kathy Cronkite;Ed Crowley;Jerome Dempsey;Conchata Ferrell;Gene Gross,,121,
193,Stalker ,,"Drama; 
Sci-Fi",17 April 1980,8.1,Andrei Tarkovsky,Alisa Freyndlikh;Aleksandr Kaydanovskiy;Anatoliy Solonitsyn;Nikolay Grinko;Natalya Abramova;Faime Jurno;E. Kostin;Raymo Rendi,,162,
194,Persona ,,"Drama; 
Thriller",18 October 1966,8.1,Ingmar Bergman,Bibi Andersson;Liv Ullmann;Margaretha Krook;Gunnar Björnstrand,,85,
195,Salinui chueok ,,"Action; 
Crime; 
Drama",2 May 2003,8.1,Joon-ho Bong,Kang-ho Song;Sang-kyung Kim;Roe-ha Kim;Jae-ho Song;Hee-Bong Byun;Seo-hie Ko;No-shik Park;Hae-il Park;Mi-seon Jeon;Young-hwa Seo;Bong-gi Baek;Hyeon-gi Choi;Jong-ryol Choi;Deok-jae Jo;Moon-ee Jo,2800000,131,
196,Ben-Hur ,G,"Adventure; 
Drama; 
History",29 January 1960,8.1,William Wyler,Charlton Heston;Jack Hawkins;Haya Harareet;Stephen Boyd;Hugh Griffith;Martha Scott;Cathy O'Donnell;Sam Jaffe;Finlay Currie;Frank Thring;Terence Longdon;George Relph;André Morell,15900000,212,196200000
197,Hotel Rwanda ,,,4 March 2005,8.1,Terry George,Don Cheadle;Xolani Mali;Desmond Dube;Hakeem Kae-Kazim;Tony Kgoroge;Rosie Motene;Neil McCarthy;Mabutho 'Kid' Sithole;Nick Nolte;Fana Mokoena;Jeremiah Ndlovu;Sophie Okonedo;Lebo Mashile;Antonio David Lyons;Leleti Khumalo,17500000,121,36532987
198,12 Years a Slave ,,,8 November 2013,8.1,Steve McQueen,Chiwetel Ejiofor;Dwight Henry;Dickie Gravois;Bryan Batt;Ashley Dyke;Kelsey Scott;Quvenzhané Wallis;Cameron Zeigler;Tony Bentley;Scoot McNairy;Taran Killam;Christopher Berry;Bill Camp;Mister Mackey Jr.;Chris Chalk,20000000,134,187733202
199,Million Dollar Baby ,PG,"Drama; 
Sport",28 January 2005,8.1,Clint Eastwood,Clint Eastwood;Hilary Swank;Morgan Freeman;Jay Baruchel;Mike Colter;Lucia Rijker;Brían F. O'Byrne;Anthony Mackie;Margo Martindale;Riki Lindhome;Michael Peña;Benito Martinez;Bruce MacVittie;David Powledge;Joe D'Angerio,30000000,132,216763646
200,Andrei Rublev ,,,December 1969,8.2,Andrei Tarkovsky,Anatoliy Solonitsyn;Ivan Lapikov;Nikolay Grinko;Nikolay Sergeev;Irina Tarkovskaya;Nikolay Burlyaev;Yuriy Nazarov;Yuriy Nikulin;Rolan Bykov;Nikolay Grabbe;Mikhail Kononov;Stepan Krylov;Bolot Beyshenaliev;B. Matysik;Anatoliy Obukhov,,165,
201,Rush ,,"Action; 
Biography; 
Drama",27 September 2013,8.1,Ron Howard,Chris Hemsworth;Daniel Brühl;Olivia Wilde;Alexandra Maria Lara;Pierfrancesco Favino;David Calder;Natalie Dormer;Stephen Mangan;Christian McKay;Alistair Petrie;Julian Rhind-Tutt;Colin Stinton;Jamie de Courcey;Augusto Dallara;Ilario Calvo,38000000,123,90247624
202,La passion de Jeanne d'Arc ,,,25 October 1928,8.2,Carl Theodor Dreyer,Maria Falconetti;Eugene Silvain;André Berley;Maurice Schutz;Antonin Artaud;Michel Simon;Jean d'Yd;Louis Ravet;Armand Lurville;Jacques Arnna;Alexandre Mihalesco;Léon Larive,,110,
203,Le salaire de la peur ,,"Adventure; 
Drama; 
Thriller",22 April 1953,8.1,Henri-Georges Clouzot,Yves Montand;Charles Vanel;Folco Lulli;Peter van Eyck;Véra Clouzot;William Tubbs;Darío Moreno;Jo Dest;Antonio Centa;Luis De Lima;Grégoire Gromoff;Joseph Palau-Fabre;Faustini;Seguna;Darling Légitimus,,131,
204,Before Sunrise ,PG,"Drama; 
Romance",27 January 1995,8.1,Richard Linklater,Ethan Hawke;Julie Delpy;Andrea Eckert;Hanno Pöschl;Karl Bruckschwaiger;Tex Rubinowitz;Erni Mangold;Dominik Castell;Haymon Maria Buttinger;Harald Waiglein;Bilge Jeschim;Kurti;Hans Weingartner;Liese Lyon;Peter Ily Huemer,2500000,101,17200000
205,Mad Max: Fury Road ,,"Action; 
Adventure; 
Sci-Fi",15 May 2015,8.1,George Miller,Tom Hardy;Charlize Theron;Nicholas Hoult;Hugh Keays-Byrne;Josh Helman;Nathan Jones;Zoë Kravitz;Rosie Huntington-Whiteley;Riley Keough;Abbey Lee;Courtney Eaton;John Howard;Richard Carter;Iota;Angus Sampson,,120,
206,Les quatre cents coups ,,"Crime; 
Drama",3 June 1959,8.1,François Truffaut,Jean-Pierre Léaud;Claire Maurier;Albert Rémy;Guy Decomble;Georges Flamant;Patrick Auffay;Daniel Couturier;François Nocher;Richard Kanayan;Renaud Fontanarosa;Michel Girard;Serge Moati;Bernard Abbou;Jean-François Bergouignan;Michel Lesignor,,99,
207,Prisoners ,,"Crime; 
Drama; 
Mystery",20 September 2013,8.1,Denis Villeneuve,Hugh Jackman;Jake Gyllenhaal;Viola Davis;Maria Bello;Terrence Howard;Melissa Leo;Paul Dano;Dylan Minnette;Zoë Soul;Erin Gerasimovich;Kyla-Drew;Wayne Duvall;Len Cariou;David Dastmalchian;Brad James,46000000,153,122126687
208,Hachi: A Dog's Tale ,,"Drama; 
Family",12 March 2010,8.1,Lasse Hallström,Richard Gere;Joan Allen;Cary-Hiroyuki Tagawa;Sarah Roemer;Jason Alexander;Erick Avari;Davenia McFadden;Robbie Sublett;Kevin DeCoste;Rob Degnan;Tora Hallström;Donna Sorbello;Frank S. Aronson;Troy Doherty;Ian Sherman,16000000,93,47707417
209,Spotlight ,,"Crime; 
Drama; 
History",20 November 2015,8.1,Tom McCarthy,Mark Ruffalo;Michael Keaton;Rachel McAdams;Liev Schreiber;John Slattery;Brian d'Arcy James;Stanley Tucci;Elena Wohl;Gene Amoroso;Doug Murray;Sharon McFarlane;Jamey Sheridan;Neal Huff;Billy Crudup;Robert B. Kennedy,20000000,129,98275238
210,Logan ,,"Action; 
Drama; 
Sci-Fi",3 March 2017,8.1,James Mangold,Hugh Jackman;Patrick Stewart;Dafne Keen;Boyd Holbrook;Stephen Merchant;Elizabeth Rodriguez;Richard E. Grant;Eriq La Salle;Elise Neal;Quincy Fouse;Al Coronel;Frank Gallegos;Anthony Escobar;Reynaldo Gallegos;Krzysztof Soszynski,97000000,137,619021436
211,Rang De Basanti ,,"Comedy; 
Drama",26 January 2006,8.2,Rakeysh Omprakash Mehra,Aamir Khan;Siddharth;Sharman Joshi;Kunal Kapoor;Atul Kulkarni;Alice Patten;Soha Ali Khan;Steven Mackintosh;Madhavan;Waheeda Rehman;Anupam Kher;Kiron Kher;Om Puri;Lekh Tandon;Cyrus Sahukar,,157,
212,Amores perros ,,"Drama; 
Thriller",16 June 2000,8.1,Alejandro G. Iñárritu,Emilio Echevarría;Gael García Bernal;Goya Toledo;Álvaro Guerrero;Vanessa Bauche;Jorge Salinas;Marco Pérez;Rodrigo Murray;Humberto Busto;Gerardo Campbell;Rosa María Bianchi;Dunia Saldívar;Adriana Barraza;José Sefami;Lourdes Echevarría,2000000,154,
213,The Princess Bride ,PG,"Adventure; 
Family; 
Fantasy",9 October 1987,8.1,Rob Reiner,Cary Elwes;Mandy Patinkin;Chris Sarandon;Christopher Guest;Wallace Shawn;André the Giant;Fred Savage;Robin Wright;Peter Falk;Peter Cook;Mel Smith;Carol Kane;Billy Crystal;Anne Dyson;Margery Mason,16000000,98,
214,Catch Me If You Can ,PG,,2 January 2003,8.1,Steven Spielberg,Leonardo DiCaprio;Tom Hanks;Christopher Walken;Martin Sheen;Nathalie Baye;Amy Adams;James Brolin;Brian Howe;Frank John Hughes;Steve Eastin;Chris Ellis;John Finn;Jennifer Garner;Nancy Lenehan;Ellen Pompeo,52000000,141,352114312
215,Kaze no tani no Naushika ,PG,,11 March 1984,8.1,Hayao Miyazaki,Sumi Shimamoto;Mahito Tsujimura;Hisako Kyôda;Gorô Naya;Ichirô Nagai;Kôhei Miyauchi;Jôji Yanami;Minoru Yada;Rihoko Yoshida;Masako Sugaya;Takako Sasuga;Chika Sakamoto;Tarako;Yôji Matsuda;Mîna Tominaga,1000000,117,
216,Harry Potter and the Deathly Hallows: Part 2 ,PG,"Adventure; 
Drama; 
Fantasy",15 July 2011,8.1,David Yates,Ralph Fiennes;Michael Gambon;Alan Rickman;Daniel Radcliffe;Rupert Grint;Emma Watson;Evanna Lynch;Domhnall Gleeson;Clémence Poésy;Warwick Davis;John Hurt;Helena Bonham Carter;Graham Duff;Anthony Allgood;Rusty Goffe,125000000,130,1341511219
217,Butch Cassidy and the Sundance Kid ,,,24 October 1969,8.1,George Roy Hill,Paul Newman;Robert Redford;Katharine Ross;Strother Martin;Henry Jones;Jeff Corey;George Furth;Cloris Leachman;Ted Cassidy;Kenneth Mars;Donnelly Rhodes;Jody Gilbert;Timothy Scott;Don Keefer;Charles Dierkop,6000000,110,
218,Rocky ,PG,"Drama; 
Sport",3 December 1976,8.1,John G. Avildsen,Sylvester Stallone;Talia Shire;Burt Young;Carl Weathers;Burgess Meredith;Thayer David;Joe Spinell;Jimmy Gambina;Bill Baldwin;Al Silvani;George Memmoli;Jodi Letizia;Diana Lewis;George O'Hanlon;Larry Carroll,960000,120,225000000
219,Barry Lyndon ,PG,"Adventure; 
Drama; 
History",18 December 1975,8.1,Stanley Kubrick,Ryan O'Neal;Marisa Berenson;Patrick Magee;Hardy Krüger;Steven Berkoff;Gay Hamilton;Marie Kean;Diana Körner;Murray Melvin;Frank Middlemass;André Morell;Arthur O'Sullivan;Godfrey Quigley;Leonard Rossiter;Philip Stone,11000000,185,31500000
220,"Monsters, Inc. ",G,,2 November 2001,8.1,,John Goodman;Billy Crystal;Mary Gibbs;Steve Buscemi;James Coburn;Jennifer Tilly;Bob Peterson;John Ratzenberger;Frank Oz;Daniel Gerson;Steve Susskind;Bonnie Hunt;Jeff Pidgeon;Samuel Lord Black;Jack Angel,115000000,92,562816256
221,The Grapes of Wrath ,PG,"Drama; 
History",15 March 1940,8.1,John Ford,Henry Fonda;Jane Darwell;John Carradine;Charley Grapewin;Dorris Bowdon;Russell Simpson;O.Z. Whitehead;John Qualen;Eddie Quillan;Zeffie Tilbury;Frank Sully;Frank Darien;Darryl Hickman;Shirley Mills;Roger Imhof,800000,129,
222,The Maltese Falcon ,PG,,18 October 1941,8.1,John Huston,Humphrey Bogart;Mary Astor;Gladys George;Peter Lorre;Barton MacLane;Lee Patrick;Sydney Greenstreet;Ward Bond;Jerome Cowan;Elisha Cook Jr.;James Burke;Murray Alper;John Hamilton,375000,100,1772000
223,Dead Poets Society ,,"Comedy; 
Drama",9 June 1989,8.1,Peter Weir,Robin Williams;Robert Sean Leonard;Ethan Hawke;Josh Charles;Gale Hansen;Dylan Kussman;Allelon Ruggiero;James Waterston;Norman Lloyd;Kurtwood Smith;Carla Belver;Leon Pownall;George Martin;Joe Aufiery;Matt Carey,16400000,128,140000000
224,Donnie Darko ,,"Drama; 
Sci-Fi; 
Thriller",26 October 2001,8.1,Richard Kelly,Jake Gyllenhaal;Holmes Osborne;Maggie Gyllenhaal;Daveigh Chase;Mary McDonnell;James Duval;Arthur Taxier;Patrick Swayze;Mark Hoffman;David St. James;Tom Tangen;Jazzie Mahannah;Jolene Purdy;Stuart Stone;Gary Lundy,,113,
225,The Terminator ,R,"Action; 
Sci-Fi",26 October 1984,8.0,James Cameron,Arnold Schwarzenegger;Michael Biehn;Linda Hamilton;Paul Winfield;Lance Henriksen;Rick Rossovich;Bess Motta;Earl Boen;Dick Miller;Shawn Schepps;Bruce M. Kerner;Franco Columbu;Bill Paxton;Brad Rearden;Brian Thompson,6400000,107,40000000
226,Gandhi ,PG,,17 February 1983,8.1,Richard Attenborough,Ben Kingsley;Rohini Hattangadi;Roshan Seth;Candice Bergen;Edward Fox;John Gielgud;Trevor Howard;John Mills;Martin Sheen;Ian Charleson;Günther Maria Halmer;Athol Fugard;Saeed Jaffrey;Geraldine James;Alyque Padamsee,22000000,191,127767889
227,Les diaboliques ,,"Crime; 
Drama; 
Horror",29 January 1955,8.1,Henri-Georges Clouzot,Simone Signoret;Véra Clouzot;Paul Meurisse;Charles Vanel;Jean Brochard;Thérèse Dorny;Michel Serrault;Georges Chamarat;Robert Dalban;Camille Guérini;Jacques Hilling;Jean Lefebvre;Aminda Montserrat;Jean Témerson;Jacques Varennes,,117,
228,La haine ,,"Crime; 
Drama",1 September 1995,8.1,Mathieu Kassovitz,Vincent Cassel;Hubert Koundé;Saïd Taghmaoui;Abdel Ahmed Ghili;Solo;Joseph Momo;Héloïse Rauth;Rywka Wajsbrot;Olga Abrego;Laurent Labasse;Choukri Gabteni;Nabil Ben Mhamed;Benoît Magimel;Médard Niang;Arash Mansour,,98,
229,Groundhog Day ,PG,"Comedy; 
Fantasy; 
Romance",12 February 1993,8.0,Harold Ramis,Bill Murray;Andie MacDowell;Chris Elliott;Stephen Tobolowsky;Brian Doyle-Murray;Marita Geraghty;Angela Paton;Rick Ducommun;Rick Overton;Robin Duke;Carol Bivins;Willie Garson;Ken Hudson Campbell;Les Podewell;Rod Sell,14600000,101,
230,The Wizard of Oz ,G,"Adventure; 
Family; 
Fantasy",21 August 1939,8.0,,Judy Garland;Frank Morgan;Ray Bolger;Bert Lahr;Jack Haley;Billie Burke;Margaret Hamilton;Charley Grapewin;Pat Walshe;Clara Blandick;Terry;The Singer Midgets,2800000,102,
231,Jaws ,R,"Adventure; 
Drama; 
Thriller",20 June 1975,8.0,Steven Spielberg,Roy Scheider;Robert Shaw;Richard Dreyfuss;Lorraine Gary;Murray Hamilton;Carl Gottlieb;Jeffrey Kramer;Susan Backlinie;Jonathan Filley;Ted Grossman;Chris Rebello;Jay Mello;Lee Fierro;Jeffrey Voorhees;Craig Kingsbury,8000000,124,470653000
232,Le notti di Cabiria ,,Drama,16 October 1957,8.1,Federico Fellini,Giulietta Masina;François Périer;Franca Marzi;Dorian Gray;Aldo Silvani;Ennio Girolami;Mario Passante;Christian Tassou;Amedeo Nazzari,,110,
233,The Help ,PG,Drama,10 August 2011,8.1,Tate Taylor,Emma Stone;Viola Davis;Bryce Dallas Howard;Octavia Spencer;Jessica Chastain;Ahna O'Reilly;Allison Janney;Anna Camp;Eleanor Henry;Emma Henry;Chris Lowell;Cicely Tyson;Mike Vogel;Sissy Spacek;Brian Kerwin,25000000,146,216639112
234,Faa yeung nin wa ,PG,"Drama; 
Romance",29 September 2000,8.1,Kar-Wai Wong,Maggie Cheung;Tony Chiu-Wai Leung;Ping Lam Siu;Tung Cho 'Joe' Cheung;Rebecca Pan;Kelly Lai Chen;Man-Lei Chan;Szu-Ying Chien;Roy Cheung;Paulyn Sun;Po-chun Chow;Kam-Wah Koo;Hsien Yu,,98,
235,Mandariinid ,,"Drama; 
War",17 October 2013,8.2,Zaza Urushadze,Lembit Ulfsak;Giorgi Nakashidze;Misha Meskhi;Elmo Nüganen;Raivo Trass;Zura Begalishvili;Dato Khakhidze;Jano Izoria;Gia Gogishvili;Vamekh Jangidze;Aleko Begalishvili;Temo Khutsishvili;Giorgi Tsaava;Denis Khlibov;Victor Gegeshidze,,87,942487
236,Sanjuro ,,"Action; 
Crime; 
Drama",1 January 1962,8.1,Akira Kurosawa,Toshirô Mifune;Tatsuya Nakadai;Keiju Kobayashi;Yûzô Kayama;Reiko Dan;Takashi Shimura;Kamatari Fujiwara;Takako Irie;Masao Shimizu;Yûnosuke Itô;Akira Kubo;Hiroshi Tachikawa;Yoshio Tsuchiya;Kunie Tanaka;Tatsuyoshi Ehara,,96,
237,Before Sunset ,,"Drama; 
Romance",30 July 2004,8.1,Richard Linklater,Ethan Hawke;Julie Delpy;Vernon Dobtcheff;Louise Lemoine Torrès;Rodolphe Pauly;Mariane Plasteig;Diabolo;Denis Evrard;Albert Delpy;Marie Pillet,2700000,80,
238,Paper Moon ,PG,"Comedy; 
Drama",9 May 1973,8.1,Peter Bogdanovich,Ryan O'Neal;Tatum O'Neal;Madeline Kahn;John Hillerman;P.J. Johnson;Jessie Lee Fulton;James N. Harrell;Lila Waters;Noble Willingham;Bob Young;Jack Saunders;Jody Wilbur;Liz Ross;Yvonne Harrison;Ed Reed,2500000,102,
239,Ah-ga-ssi ,,"Drama; 
Romance; 
Thriller",28 October 2016,8.1,Chan-wook Park,Min-hee Kim;Tae-ri Kim;Jung-woo Ha;Jin-Woong Cho;Hae-sook Kim;So-Ri Moon;Si-yeon Ha;Ha-na Han;Ha-dam Jeong;Eun-hyung Jo;Eun-yeong Kim;In-woo Kim;Dong-hwi Lee;Kyu-jung Lee;Yong-nyeo Lee,,144,1968494
240,"Paris, Texas ",,Drama,23 August 1984,8.1,Wim Wenders,Harry Dean Stanton;Nastassja Kinski;Dean Stockwell;Aurore Clément;Hunter Carson;Bernhard Wicki;Sam Berry;Claresie Mobley;Viva;Edward Fayton;Socorro Valdez;Justin Hogg;Tom Farrell;John Lurie;Jeni Vici,,145,
241,Tenkû no shiro Rapyuta ,PG,,2 August 1986,8.1,Hayao Miyazaki,Anna Paquin;James Van Der Beek;Cloris Leachman;Mark Hamill;Richard Dysart;Jim Cummings;John Hostetter;Michael McShane;Mandy Patinkin;Andy Dick;Corey Burton;John DeMita;Debi Derryberry;Eddie Frierson;Susan Hickman,,125,
242,The Best Years of Our Lives ,,"Drama; 
Romance; 
War",29 May 1947,8.1,William Wyler,Myrna Loy;Fredric March;Dana Andrews;Teresa Wright;Virginia Mayo;Cathy O'Donnell;Hoagy Carmichael;Harold Russell;Gladys George;Roman Bohnen;Ray Collins;Minna Gombell;Walter Baldwin;Steve Cochran;Dorothy Adams,2100000,170,44309982
243,Pirates of the Caribbean: The Curse of the Black Pearl ,,"Action; 
Adventure; 
Fantasy",9 July 2003,8.0,Gore Verbinski,Johnny Depp;Geoffrey Rush;Orlando Bloom;Keira Knightley;Jack Davenport;Jonathan Pryce;Lee Arenberg;Mackenzie Crook;Damian O'Hare;Giles New;Angus Barnett;David Bailie;Michael Berry Jr.;Isaac C. Singleton Jr.;Kevin McNally,140000000,143,654264015
244,Gangs of Wasseypur ,,"Action; 
Comedy; 
Crime",2 August 2012,8.2,Anurag Kashyap,Manoj Bajpayee;Richa Chadha;Nawazuddin Siddiqui;Tigmanshu Dhulia;Jameel Khan;Piyush Mishra;Jaideep Ahlawat;Huma Qureshi;Zeishan Quadri;Vipin Sharma;Satyakam Anand;Aditya Kumar;Rajkummar Rao;Vineet Kumar Singh;Sankalp Acharekar,,321,
245,Guardians of the Galaxy ,PG,"Action; 
Adventure; 
Comedy",1 August 2014,8.1,James Gunn,Chris Pratt;Zoe Saldana;Dave Bautista;Vin Diesel;Bradley Cooper;Lee Pace;Michael Rooker;Karen Gillan;Djimon Hounsou;John C. Reilly;Glenn Close;Benicio Del Toro;Laura Haddock;Sean Gunn;Peter Serafinowicz,170000000,121,774176600
246,Fanny och Alexander ,,Drama,17 December 1982,8.1,Ingmar Bergman,Kristina Adolphson;Börje Ahlstedt;Pernilla Allwin;Kristian Almgren;Carl Billquist;Axel Düberg;Allan Edwall;Siv Ericks;Ewa Fröling;Patricia Gélin;Majlis Granlund;Maria Granlund;Bertil Guve;Eva von Hanno;Sonya Hedenbratt,6000000,188,
247,La La Land ,PG,"Comedy; 
Drama; 
Music",25 December 2016,8.0,Damien Chazelle,Ryan Gosling;Emma Stone;Amiée Conn;Terry Walters;Thom Shelton;Cinda Adams;Callie Hernandez;Jessica Rothe;Sonoya Mizuno;Rosemarie DeWitt;J.K. Simmons;Claudine Claudio;Jason Fuchs;D.A. Wallach;Trevor Lissauer,30000000,128,446092357
248,Drishyam ,PG,"Crime; 
Drama; 
Thriller",31 July 2015,8.3,Nishikant Kamat,Ajay Devgn;Shriya Saran;Tabu;Rajat Kapoor;Ishita Dutta;Mrunal Jadhav;Prasanna Ketkar;Yogesh Sonam;Prathamesh Parab;Rishab Chadha;Ashish Warang;Anil Nagarkar;Tarun Shukla;Smita Inamdar;Sanjay Bhatia,9400000,163,
249,8½ ,PG,Drama,16 February 1963,8.1,Federico Fellini,Marcello Mastroianni;Claudia Cardinale;Anouk Aimée;Sandra Milo;Rossella Falk;Barbara Steele;Madeleine Lebeau;Caterina Boratto;Eddra Gale;Guido Alberti;Mario Conocchia;Bruno Agostini;Cesarino Miceli Picardi;Jean Rougeul;Mario Pisu,,138,
